1 2 3 4 5
2.601845e-01 1.377681e-02 9.199981e-01 9.199981e-01 5.631894e-01
5.631894e-01 5.631894e-01 9.199981e-01 3.109103e-01 2.601845e-01
3.109103e-01 9.199981e-01 7.188492e-02 6.053304e-01 1.377681e-02
1.024759e-01 5.631894e-01 6.053304e-01 7.951599e-01 1.377681e-02
6.053304e-01 1.961554e-04 7.951599e-01 3.872153e-01 6.053304e-01
1.024759e-01 1.024759e-01 6.053304e-01 9.199981e-01 5.631894e-01
7.951599e-01 6.053304e-01 9.199981e-01 7.951599e-01 3.109103e-01
5.631894e-01 7.951599e-01 5.631894e-01 3.872153e-01 9.199981e-01
2.601845e-01 3.109103e-01 3.109103e-01 9.199981e-01 3.109103e-01
1.024759e-01 7.188492e-02 6.053304e-01 2.601845e-01 1.024759e-01
3.109103e-01 3.109103e-01 7.951599e-01 3.872153e-01 3.872153e-01
6.053304e-01 9.199981e-01 9.199981e-01 5.631894e-01 3.109103e-01
6.053304e-01 1.961554e-04 3.671887e-10 7.951599e-01 9.199981e-01
6.053304e-01 5.631894e-01 9.199981e-01 9.199981e-01 9.199981e-01
1.961554e-04 3.872153e-01 1.961554e-04 3.872153e-01 1.961554e-04
